what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1400509848168
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1400509849918
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1400509850458
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1400509851760
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1400509895867
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1400509897037
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400509898236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400509901631
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1400510072687
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1400510125802
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1400510127754
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1400510132591
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1400510140480
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1400510143080
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1400510156368
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1400510159478
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510160590
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510182646
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510183972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510213813
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1400510221608
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1400510221895
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1400510222582
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1400510225920
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510226879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510227675
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1400510228507
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510229613
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510370800
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1400510381951
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510382633
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510384107
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1400510385107
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510386227
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510391288
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1400510396349
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510396974
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510399936
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1400510401105
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510402214
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510455797
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510457917
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510489478
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.AllMarkersView",1400510489665
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510493349
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510501494
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1400510503194
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1400510503207
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510504338
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510589335
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510590465
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510630954
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1400510635634
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1400510678882
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1400510686407
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1400510690783
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1400510694519
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1400510733480
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1400510733720
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1400510733968
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1400510734672
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1400510741212
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1400510751148
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510752282
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510878717
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510880882
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510883244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510897136
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510977953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400510979904
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400511002144
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1400511024343
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.jdt.ui.edit.text.java.correction.assist.proposals",1400511032551
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1400511040441
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400511043681
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400511126998
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400511174996
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400511192554
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1400511226776
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1400511226968
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1400511227168
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1400511227333
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1400511227518
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1400511227704
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1400511227888
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1400511228208
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1400511229067
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1400511232448
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1400511290724
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1400511302914
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1400511306399
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.wordNext",1400511311438
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1400511317538
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1400511343174
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1400511344876
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400511346842
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400511430332
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1400511433337
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400511434612
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400511523955
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.RunLast",1400511525376
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1400511526664
